order_id,customer_id,order_date,region,category,items,order_value
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-02-21,South,Home,2,79.43
2,23b8c1e9-3924-46de-beb1-3b9046685257,2025-01-15,North,Clothing,4,35.45
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2025-03-13,West,Sports,3,27.3
4,972a8469-1641-4f82-8b9d-2434e465e150,2025-03-02,North,Electronics,2,103.98
5,17fc695a-07a0-4a6e-8822-e8f36c031199,2025-01-21,East,Clothing,2,50.75
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,2025-03-24,South,Clothing,3,69.66
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,2025-03-28,South,Electronics,3,121.01
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,2025-03-16,East,Clothing,4,61.4
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-03-16,North,Home,1,64.78
10,c241330b-01a9-471f-9e8a-774bcf36d58b,2025-03-29,East,Home,5,72.05
11,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2025-01-24,East,Electronics,4,106.05
12,371ecd7b-27cd-4130-8722-9389571aa876,2025-01-03,West,Home,1,61.63
13,1a2a73ed-562b-4f79-8374-59eef50bea63,2025-01-22,North,Home,3,71.09
14,5be6128e-18c2-4797-a142-ea7d17be3111,2025-02-22,West,Sports,1,71.12
15,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2025-01-02,East,Electronics,3,111.41
16,759cde66-bacf-43d0-8b1f-9163ce9ff57f,2025-03-29,West,Home,2,75.15
17,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2025-01-30,South,Home,5,90.42
18,4b0dbb41-8d52-48f1-942c-3fe860e7a113,2025-02-07,South,Sports,2,62.49
19,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2025-01-02,West,Clothing,1,39.99
20,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,2025-03-05,West,Clothing,3,68.45
21,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2025-03-01,South,Sports,3,73.99
22,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2025-01-21,South,Toys,2,44.93
23,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2025-02-02,South,Home,3,89.39
24,7412b293-4729-4739-a14f-f3d719db3ad0,2025-03-17,South,Clothing,4,66.85
25,29a3b2e9-5d65-4441-9588-42dea2bc372f,2025-02-27,South,Sports,3,70.43
26,ab9099a4-35a2-40ae-9af3-05535ec42e08,2025-01-22,South,Toys,2,75.87
27,aefcfad8-efc8-4849-b3aa-7efe4458a885,2025-03-30,West,Toys,1,20.73
28,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2025-02-18,North,Home,3,71.2
29,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2025-02-28,East,Electronics,3,134.51
30,451b4cf3-6123-4df7-b656-af7229d4beef,2025-02-11,North,Home,2,82.14
31,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2025-03-01,South,Sports,4,81.37
32,5304317f-af42-412f-b838-b3268e944239,2025-03-21,North,Home,2,82.55
33,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2025-01-15,South,Home,5,100.61
34,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2025-03-03,East,Sports,4,54.89
35,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2025-03-03,West,Home,5,100.14
36,9132b63e-f162-47e4-a9c3-49e03602f8ac,2025-02-16,North,Toys,4,57.56
37,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2025-03-03,South,Home,1,61.85
38,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2025-02-20,South,Home,4,89.46
