shipment_id,order_id,courier,ship_date,delivered_date,status,shipping_days
1,1,Arrow,2025-02-23,2025-02-27,Delivered,4.0
2,2,Arrow,2025-01-17,2025-01-19,Delivered,2.0
3,3,Cyclone,2025-03-14,2025-03-15,Delivered,1.0
4,4,Cyclone,2025-03-02,2025-03-04,Delivered,2.0
5,4,Cyclone,2025-03-04,2025-03-05,Delivered,1.0
6,5,Bolt,2025-01-21,,Returned,
7,5,Arrow,2025-01-23,2025-01-26,Delivered,3.0
8,6,Arrow,2025-03-26,2025-03-27,Delivered,1.0
9,6,Arrow,2025-03-26,2025-03-30,Delivered,4.0
10,7,Arrow,2025-03-29,2025-03-31,Delivered,2.0
11,8,Cyclone,2025-03-16,2025-03-17,Delivered,1.0
12,9,Cyclone,2025-03-17,2025-03-21,Delivered,4.0
13,10,Bolt,2025-03-29,2025-04-01,Delivered,3.0
14,11,Arrow,2025-01-25,2025-01-26,Delivered,1.0
15,12,Arrow,2025-01-04,2025-01-07,Delivered,3.0
16,13,Bolt,2025-01-24,2025-01-28,Delivered,4.0
17,14,Arrow,2025-02-23,2025-02-26,Delivered,3.0
18,15,Bolt,2025-01-04,2025-01-07,Delivered,3.0
19,16,Bolt,2025-03-30,2025-04-04,Delivered,5.0
20,16,Arrow,2025-03-31,2025-04-01,Delivered,1.0
21,17,Bolt,2025-02-01,2025-02-07,Delivered,6.0
22,18,Arrow,2025-02-07,2025-02-09,Delivered,2.0
23,19,Cyclone,2025-01-02,2025-01-03,Delivered,1.0
24,20,Bolt,2025-03-07,2025-03-11,Delivered,4.0
25,20,Arrow,2025-03-06,2025-03-10,Delivered,4.0
26,21,Cyclone,2025-03-03,2025-03-04,Delivered,1.0
27,22,Bolt,2025-01-22,2025-01-24,Delivered,2.0
28,23,Cyclone,2025-02-02,2025-02-03,Delivered,1.0
29,24,Cyclone,2025-03-18,2025-03-19,Delivered,1.0
30,24,Arrow,2025-03-18,2025-03-20,Delivered,2.0
31,25,Arrow,2025-02-28,2025-03-01,Delivered,1.0
32,26,Arrow,2025-01-24,2025-01-25,Delivered,1.0
33,27,Bolt,2025-03-31,2025-04-04,Delivered,4.0
34,28,Bolt,2025-02-20,2025-02-24,Delivered,4.0
35,29,Bolt,2025-02-28,2025-03-06,Delivered,6.0
36,30,Bolt,2025-02-13,2025-02-16,Delivered,3.0
37,31,Cyclone,2025-03-03,2025-03-04,Delivered,1.0
38,32,Cyclone,2025-03-21,2025-03-22,Delivered,1.0
39,33,Cyclone,2025-01-15,2025-01-19,Delivered,4.0
40,34,Arrow,2025-03-03,2025-03-07,Delivered,4.0
41,35,Bolt,2025-03-03,2025-03-06,Delivered,3.0
42,36,Cyclone,2025-02-18,2025-02-19,Delivered,1.0
43,37,Arrow,2025-03-05,2025-03-06,Delivered,1.0
44,38,Arrow,2025-02-21,2025-02-22,Delivered,1.0
45,39,Arrow,2025-02-25,2025-02-26,Delivered,1.0
46,40,Bolt,2025-03-06,2025-03-11,Delivered,5.0
47,41,Arrow,2025-01-04,2025-01-05,Delivered,1.0
48,42,Cyclone,2025-02-21,2025-02-22,Delivered,1.0
49,43,Bolt,2025-01-08,2025-01-10,Delivered,2.0
50,44,Bolt,2025-01-21,2025-01-25,Delivered,4.0
51,45,Cyclone,2025-03-14,2025-03-19,Delivered,5.0
52,46,Bolt,2025-02-10,2025-02-14,Delivered,4.0
